epoch,train_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_f1_fake,val_f1_real,val_precision_macro,val_recall_macro,val_auc_roc,val_loss
1,0.687924,0.588608,0.370518,0.436179,0.0,0.741036,0.294304,0.5,0.821175,0.670486
2,0.654371,0.594937,0.387152,0.45039,0.030303,0.744,0.796178,0.507692,0.943755,0.598685
3,0.527454,0.873418,0.869895,0.873689,0.848485,0.891304,0.86846,0.871629,0.951365,0.37389
4,0.348118,0.905063,0.902208,0.905169,0.885496,0.918919,0.90135,0.903143,0.955666,0.273939
5,0.285251,0.911392,0.907602,0.910919,0.888889,0.926316,0.912625,0.903888,0.957982,0.269508
1,0.689881,0.607595,0.419118,0.477755,0.088235,0.75,0.8,0.523077,0.646319,0.684265
2,0.67298,0.588608,0.370518,0.436179,0.0,0.741036,0.294304,0.5,0.896774,0.657822
3,0.603899,0.841772,0.840333,0.843019,0.825175,0.855491,0.840705,0.851696,0.911993,0.47535
4,0.389731,0.886076,0.876498,0.882593,0.842105,0.910891,0.911814,0.863854,0.958809,0.318977
5,0.244142,0.917722,0.912948,0.91656,0.892562,0.933333,0.928221,0.904632,0.966915,0.239811
6,0.125328,0.911392,0.908926,0.911582,0.893939,0.923913,0.907331,0.910835,0.965095,0.32507
7,0.073784,0.898734,0.893189,0.897502,0.868852,0.917526,0.905506,0.886187,0.972043,0.396368
8,0.0586,0.917722,0.912383,0.916216,0.890756,0.93401,0.933048,0.902316,0.965426,0.485726
9,0.038152,0.911392,0.905324,0.909572,0.881356,0.929293,0.928661,0.894624,0.967577,0.652708
10,0.036806,0.917722,0.912948,0.91656,0.892562,0.933333,0.928221,0.904632,0.969562,0.610645
11,0.015363,0.93038,0.926787,0.929661,0.910569,0.943005,0.937759,0.920017,0.966749,0.601457
12,0.009626,0.924051,0.919388,0.922824,0.9,0.938776,0.937511,0.910008,0.963606,0.69393
13,0.004381,0.898734,0.894403,0.898193,0.873016,0.915789,0.899273,0.890819,0.963441,0.785966
14,0.009084,0.917722,0.913476,0.916872,0.894309,0.932642,0.924138,0.906948,0.963937,0.652496
15,0.003156,0.898734,0.894947,0.898482,0.875,0.914894,0.897076,0.893135,0.966088,0.712699
16,0.002628,0.905063,0.900164,0.904083,0.878049,0.92228,0.910517,0.893879,0.968238,0.782262
17,0.01471,0.905063,0.898904,0.903326,0.87395,0.923858,0.918981,0.889247,0.969562,0.926448
18,0.015391,0.911392,0.90709,0.910633,0.887097,0.927083,0.915597,0.901572,0.968734,0.725336
1,0.686381,0.607595,0.419118,0.477755,0.088235,0.75,0.8,0.523077,0.649628,0.683754
1,0.686951,0.620253,0.449477,0.503815,0.142857,0.756098,0.803922,0.538462,0.630935,0.684932
2,0.676697,0.588608,0.370518,0.436179,0.0,0.741036,0.294304,0.5,0.845988,0.662982
