epoch,train_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_f1_fake,val_f1_real,val_precision_macro,val_recall_macro,val_auc_roc,val_loss
1,0.676426,0.689873,0.626694,0.65391,0.473118,0.780269,0.727473,0.636973,0.845823,0.621649
2,0.500293,0.835443,0.822931,0.831272,0.775862,0.87,0.847719,0.813896,0.937138,0.390893
3,0.345176,0.753165,0.752917,0.751531,0.760736,0.745098,0.791327,0.783375,0.948056,0.587775
4,0.292888,0.892405,0.887497,0.891661,0.864,0.910995,0.893878,0.883127,0.955666,0.294027
5,0.206088,0.886076,0.880544,0.8851,0.854839,0.90625,0.888546,0.875434,0.954508,0.301334
1,0.689111,0.588608,0.370518,0.436179,0.0,0.741036,0.294304,0.5,0.868652,0.649818
2,0.60061,0.810127,0.800907,0.8085,0.758065,0.84375,0.807396,0.797022,0.923242,0.46704
3,0.404438,0.860759,0.853135,0.859065,0.819672,0.886598,0.864339,0.846981,0.940116,0.353287
4,0.269066,0.892405,0.886853,0.891295,0.861789,0.911917,0.896897,0.880811,0.962614,0.314148
5,0.236691,0.886076,0.884578,0.886908,0.871429,0.897727,0.88257,0.893962,0.962117,0.338896
6,0.156929,0.898734,0.891034,0.896168,0.862069,0.92,0.920103,0.879239,0.966749,0.35179
7,0.129845,0.898734,0.890221,0.895638,0.859649,0.920792,0.926606,0.876923,0.967246,0.493267
8,0.121623,0.898734,0.891034,0.896168,0.862069,0.92,0.920103,0.879239,0.969892,0.480306
9,0.056255,0.892405,0.882907,0.888817,0.849558,0.916256,0.922727,0.869231,0.972539,0.621315
10,0.032405,0.905063,0.901754,0.904949,0.883721,0.919786,0.902759,0.900827,0.94177,0.547162
11,0.031817,0.879747,0.875554,0.879602,0.852713,0.898396,0.876496,0.87469,0.947229,0.663645
12,0.040639,0.892405,0.886162,0.890887,0.859504,0.912821,0.90056,0.878495,0.960298,0.709709
13,0.030494,0.892405,0.885424,0.890436,0.857143,0.913706,0.904915,0.876179,0.965922,0.770739
14,0.041687,0.911392,0.9093,0.911741,0.895522,0.923077,0.906693,0.913151,0.961621,0.579345
15,0.007442,0.898734,0.891799,0.896654,0.864407,0.919192,0.914465,0.881555,0.966749,0.739805
16,0.011348,0.905063,0.901754,0.904949,0.883721,0.919786,0.902759,0.900827,0.965261,0.640907
17,0.021124,0.886076,0.879838,0.88469,0.852459,0.907216,0.891784,0.873118,0.965426,0.687309
18,0.01244,0.879747,0.874932,0.879281,0.850394,0.899471,0.878192,0.872374,0.962945,0.731225
19,0.00727,0.892405,0.890076,0.892911,0.874074,0.906077,0.887338,0.894706,0.958809,0.790513
20,0.006452,0.892405,0.888654,0.892276,0.868217,0.909091,0.889628,0.887758,0.959801,0.807685
21,0.003494,0.886076,0.881203,0.885467,0.857143,0.905263,0.885922,0.87775,0.956658,0.812793
